user_id,type,side,quantity,price
38,LIMIT,SELL,7,100
59,LIMIT,SELL,9,99
88,LIMIT,SELL,4,100
15,LIMIT,BUY,5,99
7,LIMIT,BUY,4,100
100,LIMIT,BUY,9,100
90,LIMIT,SELL,6,99
87,LIMIT,SELL,2,100
56,LIMIT,BUY,2,100
10,LIMIT,BUY,9,100
32,LIMIT,SELL,2,99
26,LIMIT,SELL,8,99
87,LIMIT,SELL,4,99
88,LIMIT,BUY,9,100
31,LIMIT,SELL,3,99
13,LIMIT,SELL,4,100
32,LIMIT,SELL,2,100
83,LIMIT,BUY,6,100
52,LIMIT,SELL,4,99
32,LIMIT,BUY,3,99
62,LIMIT,BUY,7,100
65,LIMIT,SELL,7,100
7,LIMIT,SELL,5,99
27,LIMIT,SELL,5,99
45,LIMIT,BUY,9,100
44,LIMIT,SELL,1,100
56,LIMIT,SELL,5,99
60,LIMIT,BUY,9,100
98,LIMIT,BUY,7,99
21,LIMIT,SELL,7,100
93,LIMIT,SELL,3,100
89,LIMIT,BUY,3,99
24,LIMIT,SELL,6,99
58,LIMIT,BUY,2,99
60,LIMIT,BUY,5,99
76,LIMIT,BUY,4,100
9,LIMIT,SELL,1,100
84,LIMIT,SELL,5,99
3,LIMIT,BUY,7,99
64,LIMIT,SELL,6,99
40,LIMIT,SELL,2,99
47,LIMIT,SELL,3,100
34,LIMIT,BUY,7,99
13,LIMIT,SELL,1,100
69,LIMIT,SELL,5,100
28,LIMIT,SELL,8,100
5,LIMIT,SELL,5,100
2,LIMIT,SELL,8,99
2,LIMIT,BUY,2,99
99,LIMIT,SELL,3,100
42,LIMIT,BUY,5,100
43,LIMIT,BUY,2,99
65,LIMIT,BUY,6,100
77,LIMIT,SELL,9,100
34,LIMIT,BUY,7,99
31,LIMIT,BUY,1,99
36,LIMIT,BUY,5,100
26,LIMIT,SELL,5,99
69,LIMIT,BUY,1,99
47,LIMIT,BUY,8,99
71,LIMIT,BUY,1,99
25,LIMIT,SELL,4,100
81,LIMIT,SELL,8,99
80,LIMIT,BUY,5,100
25,LIMIT,SELL,6,99
9,LIMIT,SELL,2,99
61,LIMIT,SELL,1,100
54,LIMIT,SELL,5,100
21,LIMIT,BUY,5,99
20,LIMIT,SELL,7,100
45,LIMIT,SELL,2,100
13,LIMIT,SELL,5,99
49,LIMIT,SELL,3,99
4,LIMIT,SELL,9,100
32,LIMIT,BUY,6,100
62,LIMIT,SELL,6,100
17,LIMIT,BUY,5,99
88,LIMIT,SELL,1,100
45,LIMIT,SELL,8,99
60,LIMIT,BUY,2,100
60,LIMIT,BUY,3,100
26,LIMIT,BUY,6,100
99,LIMIT,SELL,4,99
72,LIMIT,BUY,3,100
33,LIMIT,BUY,5,100
56,LIMIT,BUY,9,100
83,LIMIT,SELL,4,100
31,LIMIT,BUY,1,100
71,LIMIT,SELL,1,99
66,LIMIT,BUY,9,99
30,LIMIT,SELL,1,99
4,LIMIT,BUY,8,100
26,LIMIT,BUY,2,100
73,LIMIT,SELL,9,99
1,LIMIT,BUY,7,99
66,LIMIT,BUY,7,99
5,LIMIT,SELL,6,100
21,LIMIT,SELL,3,100
90,LIMIT,SELL,1,100
9,LIMIT,BUY,6,99
55,LIMIT,SELL,6,99
66,LIMIT,BUY,4,99
15,LIMIT,SELL,8,99
12,LIMIT,BUY,9,99
15,LIMIT,BUY,2,99
88,LIMIT,SELL,3,99
51,LIMIT,SELL,6,99
96,LIMIT,BUY,1,99
25,LIMIT,BUY,8,100
39,LIMIT,SELL,5,100
79,LIMIT,BUY,8,100
12,LIMIT,BUY,3,99
84,LIMIT,SELL,3,99
48,LIMIT,SELL,9,99
8,LIMIT,BUY,3,99
65,LIMIT,BUY,9,100
82,LIMIT,SELL,9,100
16,LIMIT,BUY,5,99
11,LIMIT,SELL,7,100
34,LIMIT,BUY,1,99
88,LIMIT,SELL,2,100
3,LIMIT,SELL,5,99
2,LIMIT,SELL,7,99
14,LIMIT,SELL,8,99
41,LIMIT,SELL,4,100
24,LIMIT,BUY,5,100
83,LIMIT,BUY,9,100
75,LIMIT,BUY,4,100
35,LIMIT,SELL,9,99
50,LIMIT,BUY,4,100
29,LIMIT,BUY,7,100
20,LIMIT,SELL,4,99
19,LIMIT,SELL,6,99
28,LIMIT,SELL,8,100
99,LIMIT,SELL,9,100
68,LIMIT,BUY,2,100
1,LIMIT,BUY,2,100
38,LIMIT,SELL,4,100
48,LIMIT,BUY,8,99
7,LIMIT,BUY,4,99
94,LIMIT,BUY,6,99
42,LIMIT,SELL,2,100
47,LIMIT,BUY,3,99
69,LIMIT,SELL,8,99
47,LIMIT,SELL,3,100
49,LIMIT,BUY,9,100
100,LIMIT,SELL,5,99
89,LIMIT,SELL,1,99
9,LIMIT,SELL,9,99
1,LIMIT,BUY,6,99
41,LIMIT,SELL,5,99
